Imatest,2021.1.7, Evaluation, Multicharts
File,DSC06532.JPG
Run date,31-Oct-2021 14:56:16,,Build 2021-10-22
Color space,sRGB
Reference,X-Rite default old: Color space Wt Pt
Pixel offset,0

Gamma, 0.866
mean patch size pxls, 594, 594
Exposure error, -0.0285,f-stops

'Densities' are -log10(normalized pixel levels) for Y R G and B channels; RGBY means in pixels (max 255). (for Dynamic Range) 
Zone,(-)Log(exp),Y-density,R-density,G-density,B-density,Y-mean, R-mean, G-mean, B-mean, WB Err Deg,WB Err Mired,WB ERR S(HSV),WB Delta-C ab,WB Delta-C 94,WB Delta-C 00
19,  0.0395,  0.2864,  0.3359,  0.2659,  0.3637, 131.9, 117.7, 138.2, 110.4,  -483,  12.3, 0.202, 16.59, 15.53, 13.76
20,  0.2294,  0.3772,  0.4518,  0.3495,  0.4681, 107.0,  90.1, 114.0,  86.8,  -360,   9.0, 0.239, 18.75, 18.22, 15.42
21,  0.4395,  0.5237,  0.6090,  0.4937,  0.6125,  76.4,  62.7,  81.8,  62.2,  -235,   5.8, 0.239, 14.73, 14.26, 13.26
22,  0.7176,  0.7548,  0.8425,  0.7222,  0.8714,  44.8,  36.6,  48.3,  34.3,  -433,  11.0, 0.291, 11.31, 11.19, 11.06
23,  1.0534,  1.0884,  1.2072,  1.0491,  1.2044,  20.8,  15.8,  22.8,  15.9,  -172,   4.2, 0.305,  5.98,  5.78,  6.63
24,  1.5074,  1.5768,  1.6282,  1.5505,  1.7261,   6.8,   6.0,   7.2,   4.8,  -707,  18.8, 0.333,  1.90,  1.87,  2.01

Color Matrix-corrected RGB and White Balance results
Zone,(-)Log(exp), ,R-density,G-density,B-density, , R-mean, G-mean, B-mean, WB Err Deg,WB Err Mired,WB ERR S(HSV),WB Delta-C ab,WB Delta-C 94,WB Delta-C 00
19,  0.0395,,  0.0704,  0.0824,  0.0838,, 216.9, 210.9, 210.3,  -262,   6.5, 0.030,  2.63,  2.57,  3.82
20,  0.2294,,  0.1225,  0.1185,  0.1317,, 192.3, 194.1, 188.3,  -195,   4.8, 0.030,  3.10,  3.04,  3.07
21,  0.4395,,  0.1946,  0.1839,  0.1975,, 162.9, 167.0, 161.8,   -84,   2.0, 0.031,  3.13,  3.05,  3.38
22,  0.7176,,  0.2977,  0.2855,  0.3150,, 128.5, 132.1, 123.5,  -341,   8.5, 0.066,  5.37,  5.31,  5.58
23,  1.0534,,  0.4647,  0.4334,  0.4670,,  87.5,  94.0,  87.0,  -109,   2.6, 0.075,  5.79,  5.60,  6.36
24,  1.5074,,  0.6504,  0.6605,  0.7022,,  57.0,  55.7,  50.6,  -784,  21.1, 0.112,  4.40,  4.30,  4.23

Noise (normalized to maximum) and f-stop noise and SNR (scene-referenced). For Dynamic Range (post-processor).
,Noise norml to 1.5 density range (B-E);,,,,Noise normalized to maximum (F-I);,,,,,f-stop noise (scene-referenced) (K-N);,,,,f-stop Signal/Noise (scene-ref) (O-R)
Zone,Y-noise,R-noise,G-noise,B-noise,Y-noise,R-noise,G-noise,B-noise,,Y-fstopN,R-fstopN,G-fstopN,B-fstopN,Y-fst_S/N,R-fst_S/N,G-fst_S/N,B-fst_S/N
19,   0.000,  0.000,  0.000,  0.000,   0.316,  0.526,  0.375,  0.399,,   0.0204,  0.0340,  0.0242,  0.0258,    48.96,   29.40,   41.24,   38.74
20,   0.000,  0.000,  0.000,  0.000,   0.407,  0.540,  0.452,  0.576,,   0.0248,  0.0330,  0.0276,  0.0352,    40.26,   30.34,   36.22,   28.43
21,   0.000,  0.000,  0.000,  0.000,   0.406,  0.563,  0.454,  0.459,,   0.0270,  0.0375,  0.0302,  0.0306,    36.98,   26.68,   33.08,   32.73
22,   0.000,  0.000,  0.000,  0.000,   0.341,  0.412,  0.357,  0.426,,   0.0319,  0.0386,  0.0334,  0.0399,    31.31,   25.91,   29.94,   25.07
