Imatest,2021.1.7, Evaluation, Multicharts
File,panorama.jpg
Run date,31-Oct-2021 14:58:45,,Build 2021-10-22
Color space,ProPhoto RGB
Reference,X-Rite default old: Color space Wt Pt
Pixel offset,0

Gamma, 0.516
mean patch size pxls, 53, 53
Exposure error, -1.52,f-stops

'Densities' are -log10(normalized pixel levels) for Y R G and B channels; RGBY means in pixels (max 255). (for Dynamic Range) 
Zone,(-)Log(exp),Y-density,R-density,G-density,B-density,Y-mean, R-mean, G-mean, B-mean, WB Err Deg,WB Err Mired,WB ERR S(HSV),WB Delta-C ab,WB Delta-C 94,WB Delta-C 00
19,  0.0395,  0.1633,  0.1721,  0.1614,  0.1564, 175.1, 171.6, 175.9, 177.9,  2007, -57.3, 0.035,  3.99,  3.87,  4.53
20,  0.2296,  0.2483,  0.2577,  0.2473,  0.2317, 143.9, 140.9, 144.3, 149.6,  2350, -63.9, 0.058,  3.81,  3.70,  3.81
21,  0.4398,  0.3431,  0.3548,  0.3416,  0.3243, 115.7, 112.6, 116.1, 120.9,  2520, -67.0, 0.068,  3.78,  3.64,  3.85
22,  0.7177,  0.4997,  0.5059,  0.5001,  0.4785,  80.7,  79.5,  80.6,  84.7,  2401, -64.9, 0.061,  3.08,  3.04,  2.92
23,  1.0540,  0.6686,  0.6778,  0.6691,  0.6386,  54.7,  53.6,  54.6,  58.6,  2870, -72.9, 0.086,  2.52,  2.38,  2.32
24,  1.5079,  0.8727,  0.8816,  0.8738,  0.8369,  34.2,  33.5,  34.1,  37.1,  3122, -76.9, 0.098,  2.40,  2.30,  2.25

Color Matrix-corrected RGB and White Balance results
Zone,(-)Log(exp), ,R-density,G-density,B-density, , R-mean, G-mean, B-mean, WB Err Deg,WB Err Mired,WB ERR S(HSV),WB Delta-C ab,WB Delta-C 94,WB Delta-C 00
19,  0.0395,,  0.1483,  0.1451,  0.1520,, 181.2, 182.6, 179.7,  1423, -44.3, 0.016,  0.72,  0.69,  1.00
20,  0.2296,,  0.1954,  0.1920,  0.1935,, 162.6, 163.9, 163.3,  1575, -47.9, 0.008,  0.58,  0.57,  0.69
21,  0.4398,,  0.2496,  0.2436,  0.2448,, 143.5, 145.5, 145.1,  1667, -50.0, 0.014,  0.98,  0.95,  1.31
22,  0.7177,,  0.3327,  0.3329,  0.3303,, 118.5, 118.5, 119.2,  1568, -47.7, 0.006,  0.30,  0.30,  0.40
23,  1.0540,,  0.4281,  0.4254,  0.4190,,  95.2,  95.8,  97.2,  1778, -52.5, 0.021,  0.13,  0.13,  0.14
24,  1.5079,,  0.5410,  0.5388,  0.5289,,  73.4,  73.8,  75.4,  1867, -54.4, 0.027,  0.47,  0.45,  0.50

Noise (normalized to maximum) and f-stop noise and SNR (scene-referenced). For Dynamic Range (post-processor).
,Noise norml to 1.5 density range (B-E);,,,,Noise normalized to maximum (F-I);,,,,,f-stop noise (scene-referenced) (K-N);,,,,f-stop Signal/Noise (scene-ref) (O-R)
Zone,Y-noise,R-noise,G-noise,B-noise,Y-noise,R-noise,G-noise,B-noise,,Y-fstopN,R-fstopN,G-fstopN,B-fstopN,Y-fst_S/N,R-fst_S/N,G-fst_S/N,B-fst_S/N
19,   0.000,  0.000,  0.000,  0.000,   0.849,  0.862,  0.861,  0.982,,   0.0439,  0.0446,  0.0445,  0.0508,    22.79,   22.43,   22.45,   19.70
20,   0.000,  0.000,  0.000,  0.000,   0.906,  0.919,  0.914,  1.007,,   0.0518,  0.0525,  0.0522,  0.0576,    19.31,   19.05,   19.15,   17.38
21,   0.000,  0.000,  0.000,  0.000,   0.994,  1.013,  1.003,  1.120,,   0.0650,  0.0662,  0.0656,  0.0732,    15.39,   15.10,   15.25,   13.66
22,   0.000,  0.000,  0.000,  0.000,   0.948,  0.953,  0.951,  1.013,,   0.0808,  0.0812,  0.0811,  0.0863,    12.37,   12.31,   12.33,   11.58
23,   0.000,  0.000,  0.000,  0.000,   0.874,  0.888,  0.874,  0.913,,   0.1258,  0.1278,  0.1258,  0.1314,     7.95,    7.82,    7.95,    7.61
