Imatest,2021.1.7, Evaluation, Multicharts
File,DSC06533.JPG
Run date,31-Oct-2021 14:56:45,,Build 2021-10-22
Color space,sRGB
Reference,X-Rite default old: Color space Wt Pt
Pixel offset,0

Gamma, 0.871
mean patch size pxls, 591, 591
Exposure error, 0.0299,f-stops

'Densities' are -log10(normalized pixel levels) for Y R G and B channels; RGBY means in pixels (max 255). (for Dynamic Range) 
Zone,(-)Log(exp),Y-density,R-density,G-density,B-density,Y-mean, R-mean, G-mean, B-mean, WB Err Deg,WB Err Mired,WB ERR S(HSV),WB Delta-C ab,WB Delta-C 94,WB Delta-C 00
19,  0.0395,  0.2889,  0.3212,  0.2709,  0.3912, 131.1, 121.7, 136.7, 103.6,  -911,  25.1, 0.242, 18.32, 17.15, 13.96
20,  0.2294,  0.3735,  0.4233,  0.3502,  0.4864, 107.9,  96.2, 113.9,  83.2,  -793,  21.4, 0.269, 19.37, 18.83, 15.18
21,  0.4395,  0.5123,  0.5762,  0.4851,  0.6310,  78.4,  67.7,  83.5,  59.6,  -684,  18.1, 0.285, 16.35, 15.82, 13.74
22,  0.7176,  0.7430,  0.8094,  0.7136,  0.8845,  46.1,  39.6,  49.3,  33.3,  -774,  20.8, 0.325, 12.04, 11.91, 11.22
23,  1.0534,  1.0878,  1.1828,  1.0518,  1.2288,  20.8,  16.7,  22.6,  15.1,  -476,  12.2, 0.335,  6.16,  5.95,  6.64
24,  1.5074,  1.6113,  1.6705,  1.5817,  1.7815,   6.2,   5.4,   6.7,   4.2,  -764,  20.5, 0.369,  1.93,  1.90,  2.04

Color Matrix-corrected RGB and White Balance results
Zone,(-)Log(exp), ,R-density,G-density,B-density, , R-mean, G-mean, B-mean, WB Err Deg,WB Err Mired,WB ERR S(HSV),WB Delta-C ab,WB Delta-C 94,WB Delta-C 00
19,  0.0395,,  0.0751,  0.0849,  0.0860,, 214.5, 209.7, 209.2,  -214,   5.2, 0.025,  2.29,  2.24,  3.31
